"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Priority"
"46",0,3,"male",21,0,0,8.05,"NP"
"47",0,3,"male",40,1,0,15.5,"NP"
"48",1,3,"female",16,0,0,7.75,"P"
"49",0,3,"male",28.5,2,0,21.6792,"NP"
"50",0,3,"female",18,1,0,17.8,"P"
"51",0,3,"male",7,4,1,39.6875,"P"
"52",0,3,"male",21,0,0,7.8,"NP"
"53",1,1,"female",49,1,0,76.7292,"P"
"54",1,2,"female",29,1,0,26,"P"
"55",0,1,"male",65,0,1,61.9792,"NP"
"56",1,1,"male",38,0,0,35.5,"NP"
"57",1,2,"female",21,0,0,10.5,"P"
"58",0,3,"male",28.5,0,0,7.2292,"NP"
"59",1,2,"female",5,1,2,27.75,"P"
"60",0,3,"male",11,5,2,46.9,"P"
"61",0,3,"male",22,0,0,7.2292,"NP"
"62",1,1,"female",38,0,0,80,"P"
"63",0,1,"male",45,1,0,83.475,"NP"
"64",0,3,"male",4,3,2,27.9,"P"
"65",0,1,"male",40,0,0,27.7208,"NP"
"66",1,3,"male",22,1,1,15.2458,"NP"
"67",1,2,"female",29,0,0,10.5,"P"
"68",0,3,"male",19,0,0,8.1583,"NP"
"69",1,3,"female",17,4,2,7.925,"P"
"70",0,3,"male",26,2,0,8.6625,"NP"
"71",0,2,"male",32,0,0,10.5,"NP"
"72",0,3,"female",16,5,2,46.9,"P"
"73",0,2,"male",21,0,0,73.5,"NP"
"74",0,3,"male",26,1,0,14.4542,"NP"
"75",1,3,"male",32,0,0,56.4958,"NP"
"76",0,3,"male",25,0,0,7.65,"NP"
"77",0,3,"male",22,0,0,7.8958,"NP"
"78",0,3,"male",22,0,0,8.05,"NP"
"79",1,2,"male",0.83,0,2,29,"P"
"80",1,3,"female",30,0,0,12.475,"P"
"81",0,3,"male",22,0,0,9,"NP"
"82",1,3,"male",29,0,0,9.5,"NP"
"83",1,3,"female",16,0,0,7.7875,"P"
"84",0,1,"male",28,0,0,47.1,"NP"
"85",1,2,"female",17,0,0,10.5,"P"
"86",1,3,"female",33,3,0,15.85,"P"
"87",0,3,"male",16,1,3,34.375,"P"
"88",0,3,"male",24,0,0,8.05,"NP"
"89",1,1,"female",23,3,2,263,"P"
"90",0,3,"male",24,0,0,8.05,"NP"
"91",0,3,"male",29,0,0,8.05,"NP"
"92",0,3,"male",20,0,0,7.8542,"NP"
"93",0,1,"male",46,1,0,61.175,"NP"
"94",0,3,"male",26,1,2,20.575,"NP"
"95",0,3,"male",59,0,0,7.25,"NP"
"96",0,3,"male",29,0,0,8.05,"NP"
"97",0,1,"male",71,0,0,34.6542,"NP"
"98",1,1,"male",23,0,1,63.3583,"NP"
"99",1,2,"female",34,0,1,23,"P"
"100",0,2,"male",34,1,0,26,"NP"
"101",0,3,"female",28,0,0,7.8958,"P"
"102",0,3,"male",33,0,0,7.8958,"NP"
"103",0,1,"male",21,0,1,77.2875,"NP"
"104",0,3,"male",33,0,0,8.6542,"NP"
"105",0,3,"male",37,2,0,7.925,"NP"
"106",0,3,"male",28,0,0,7.8958,"NP"
"107",1,3,"female",21,0,0,7.65,"P"
"108",1,3,"male",24,0,0,7.775,"NP"
"109",0,3,"male",38,0,0,7.8958,"NP"
"110",1,3,"female",16,1,0,24.15,"P"
"111",0,1,"male",47,0,0,52,"NP"
"112",0,3,"female",14.5,1,0,14.4542,"P"
"113",0,3,"male",22,0,0,8.05,"NP"
"114",0,3,"female",20,1,0,9.825,"P"
"115",0,3,"female",17,0,0,14.4583,"P"
"116",0,3,"male",21,0,0,7.925,"NP"
"117",0,3,"male",70.5,0,0,7.75,"NP"
"118",0,2,"male",29,1,0,21,"NP"
"119",0,1,"male",24,0,1,247.5208,"NP"
"120",0,3,"female",2,4,2,31.275,"P"
"121",0,2,"male",21,2,0,73.5,"NP"
"122",0,3,"male",22,0,0,8.05,"NP"
"123",0,2,"male",32.5,1,0,30.0708,"NP"
"124",1,2,"female",32.5,0,0,13,"P"
"125",0,1,"male",54,0,1,77.2875,"NP"
"126",1,3,"male",12,1,0,11.2417,"P"
"127",0,3,"male",40,0,0,7.75,"NP"
"128",1,3,"male",24,0,0,7.1417,"NP"
"129",1,3,"female",5,1,1,22.3583,"P"
"130",0,3,"male",45,0,0,6.975,"NP"
"131",0,3,"male",33,0,0,7.8958,"NP"
"132",0,3,"male",20,0,0,7.05,"NP"
"133",0,3,"female",47,1,0,14.5,"P"
"134",1,2,"female",29,1,0,26,"P"
"135",0,2,"male",25,0,0,13,"NP"
"136",0,2,"male",23,0,0,15.0458,"NP"
"137",1,1,"female",19,0,2,26.2833,"P"
"138",0,1,"male",37,1,0,53.1,"NP"
"139",0,3,"male",16,0,0,9.2167,"P"
"140",0,1,"male",24,0,0,79.2,"NP"
"141",0,3,"female",17,0,2,15.2458,"P"
"142",1,3,"female",22,0,0,7.75,"P"
"143",1,3,"female",24,1,0,15.85,"P"
"144",0,3,"male",19,0,0,6.75,"NP"
"145",0,2,"male",18,0,0,11.5,"NP"
"146",0,2,"male",19,1,1,36.75,"NP"
"147",1,3,"male",27,0,0,7.7958,"NP"
"148",0,3,"female",9,2,2,34.375,"P"
"149",0,2,"male",36.5,0,2,26,"NP"
"150",0,2,"male",42,0,0,13,"NP"
"151",0,2,"male",51,0,0,12.525,"NP"
"152",1,1,"female",22,1,0,66.6,"P"
"153",0,3,"male",55.5,0,0,8.05,"NP"
"154",0,3,"male",40.5,0,2,14.5,"NP"
"155",0,3,"male",26,0,0,7.3125,"NP"
"156",0,1,"male",51,0,1,61.3792,"NP"
"157",1,3,"female",16,0,0,7.7333,"P"
"158",0,3,"male",30,0,0,8.05,"NP"
"159",0,3,"male",26,0,0,8.6625,"NP"
"160",0,3,"male",9,8,2,69.55,"P"
"161",0,3,"male",44,0,1,16.1,"NP"
"162",1,2,"female",40,0,0,15.75,"P"
"163",0,3,"male",26,0,0,7.775,"NP"
"164",0,3,"male",17,0,0,8.6625,"P"
"165",0,3,"male",1,4,1,39.6875,"P"
"166",1,3,"male",9,0,2,20.525,"P"
"167",1,1,"female",22,0,1,55,"P"
"168",0,3,"female",45,1,4,27.9,"P"
"169",0,1,"male",56,0,0,25.925,"NP"
"170",0,3,"male",28,0,0,56.4958,"NP"
"171",0,1,"male",61,0,0,33.5,"NP"
"172",0,3,"male",4,4,1,29.125,"P"
"173",1,3,"female",1,1,1,11.1333,"P"
"174",0,3,"male",21,0,0,7.925,"NP"
"175",0,1,"male",56,0,0,30.6958,"NP"
"176",0,3,"male",18,1,1,7.8542,"NP"
"177",0,3,"male",7,3,1,25.4667,"P"
"178",0,1,"female",50,0,0,28.7125,"P"
"179",0,2,"male",30,0,0,13,"NP"
"180",0,3,"male",36,0,0,0,"NP"
"181",0,3,"female",9,8,2,69.55,"P"
"182",0,2,"male",30,0,0,15.05,"NP"
"183",0,3,"male",9,4,2,31.3875,"P"
"184",1,2,"male",1,2,1,39,"P"
"185",1,3,"female",4,0,2,22.025,"P"
"186",0,1,"male",47,0,0,50,"NP"
"187",1,3,"female",16,1,0,15.5,"P"
"188",1,1,"male",45,0,0,26.55,"NP"
"189",0,3,"male",40,1,1,15.5,"NP"
"190",0,3,"male",36,0,0,7.8958,"NP"
"191",1,2,"female",32,0,0,13,"P"
"192",0,2,"male",19,0,0,13,"NP"
"193",1,3,"female",19,1,0,7.8542,"P"
"194",1,2,"male",3,1,1,26,"P"
"195",1,1,"female",44,0,0,27.7208,"P"
"196",1,1,"female",58,0,0,146.5208,"P"
"197",0,3,"male",40,0,0,7.75,"NP"
"198",0,3,"male",42,0,1,8.4042,"NP"
"199",1,3,"female",16,0,0,7.75,"P"
"200",0,2,"female",24,0,0,13,"P"
"201",0,3,"male",28,0,0,9.5,"NP"
"202",0,3,"male",9,8,2,69.55,"P"
"203",0,3,"male",34,0,0,6.4958,"NP"
"204",0,3,"male",45.5,0,0,7.225,"NP"
"205",1,3,"male",18,0,0,8.05,"NP"
"206",0,3,"female",2,0,1,10.4625,"P"
"207",0,3,"male",32,1,0,15.85,"NP"
"208",1,3,"male",26,0,0,18.7875,"NP"
"209",1,3,"female",16,0,0,7.75,"P"
"210",1,1,"male",40,0,0,31,"NP"
"211",0,3,"male",24,0,0,7.05,"NP"
"212",1,2,"female",35,0,0,21,"P"
"213",0,3,"male",22,0,0,7.25,"NP"
"214",0,2,"male",30,0,0,13,"NP"
"215",0,3,"male",40,1,0,7.75,"NP"
"216",1,1,"female",31,1,0,113.275,"P"
"217",1,3,"female",27,0,0,7.925,"P"
"218",0,2,"male",42,1,0,27,"NP"
"219",1,1,"female",32,0,0,76.2917,"P"
"220",0,2,"male",30,0,0,10.5,"NP"
"221",1,3,"male",16,0,0,8.05,"P"
"222",0,2,"male",27,0,0,13,"NP"
"223",0,3,"male",51,0,0,8.05,"NP"
"224",0,3,"male",22,0,0,7.8958,"NP"
"225",1,1,"male",38,1,0,90,"NP"
"226",0,3,"male",22,0,0,9.35,"NP"
"227",1,2,"male",19,0,0,10.5,"NP"
"228",0,3,"male",20.5,0,0,7.25,"NP"
"229",0,2,"male",18,0,0,13,"NP"
"230",0,3,"female",8,3,1,25.4667,"P"
"231",1,1,"female",35,1,0,83.475,"P"
"232",0,3,"male",29,0,0,7.775,"NP"
"233",0,2,"male",59,0,0,13.5,"NP"
"234",1,3,"female",5,4,2,31.3875,"P"
"235",0,2,"male",24,0,0,10.5,"NP"
"236",0,3,"female",28,0,0,7.55,"P"
"237",0,2,"male",44,1,0,26,"NP"
"238",1,2,"female",8,0,2,26.25,"P"
"239",0,2,"male",19,0,0,10.5,"NP"
"240",0,2,"male",33,0,0,12.275,"NP"
"241",0,3,"female",17,1,0,14.4542,"P"
"242",1,3,"female",16,1,0,15.5,"P"
"243",0,2,"male",29,0,0,10.5,"NP"
"244",0,3,"male",22,0,0,7.125,"NP"
"245",0,3,"male",30,0,0,7.225,"NP"
"246",0,1,"male",44,2,0,90,"NP"
"247",0,3,"female",25,0,0,7.775,"P"
"248",1,2,"female",24,0,2,14.5,"P"
"249",1,1,"male",37,1,1,52.5542,"NP"
"250",0,2,"male",54,1,0,26,"NP"
"251",0,3,"male",22,0,0,7.25,"NP"
"252",0,3,"female",29,1,1,10.4625,"P"
"253",0,1,"male",62,0,0,26.55,"NP"
"254",0,3,"male",30,1,0,16.1,"NP"
"255",0,3,"female",41,0,2,20.2125,"P"
"256",1,3,"female",29,0,2,15.2458,"P"
"257",1,1,"female",30,0,0,79.2,"P"
"258",1,1,"female",30,0,0,86.5,"P"
"259",1,2,"female",50,0,1,26,"P"
"260",0,3,"male",40.5,0,0,7.75,"NP"
"261",1,3,"male",3,4,2,31.3875,"P"
"262",0,1,"male",52,1,1,79.65,"NP"
"263",0,1,"male",40,0,0,0,"NP"
"264",0,3,"female",30.5,0,0,7.75,"P"
"265",0,2,"male",36,0,0,10.5,"NP"
"266",0,3,"male",16,4,1,39.6875,"P"
"267",1,3,"male",25,1,0,7.775,"NP"
"268",1,1,"female",58,0,1,153.4625,"P"
"269",1,1,"female",35,0,0,135.6333,"P"
"270",0,1,"male",56,0,0,31,"NP"
"271",1,3,"male",25,0,0,0,"NP"
"272",1,2,"female",41,0,1,19.5,"P"
"273",0,1,"male",37,0,1,29.7,"NP"
"274",1,3,"female",16,0,0,7.75,"P"
"275",1,1,"female",63,1,0,77.9583,"P"
"276",0,3,"female",45,0,0,7.75,"P"
"277",0,2,"male",29,0,0,0,"NP"
"278",0,3,"male",7,4,1,29.125,"P"
"279",1,3,"female",35,1,1,20.25,"P"
"280",0,3,"male",65,0,0,7.75,"NP"
"281",0,3,"male",28,0,0,7.8542,"NP"
"282",0,3,"male",16,0,0,9.5,"P"
"283",1,3,"male",19,0,0,8.05,"NP"
"284",0,1,"male",45.5,0,0,26,"NP"
"285",0,3,"male",33,0,0,8.6625,"NP"
"286",1,3,"male",30,0,0,9.5,"NP"
"287",0,3,"male",22,0,0,7.8958,"NP"
"288",1,2,"male",42,0,0,13,"NP"
"289",1,3,"female",22,0,0,7.75,"P"
"290",1,1,"female",26,0,0,78.85,"P"
"291",1,1,"female",19,1,0,91.0792,"P"
"292",0,2,"male",36,0,0,12.875,"NP"
"293",0,3,"female",24,0,0,8.85,"P"
"294",0,3,"male",24,0,0,7.8958,"NP"
"295",0,1,"male",40,0,0,27.7208,"NP"
"296",0,3,"male",23.5,0,0,7.2292,"NP"
"297",0,1,"female",2,1,2,151.55,"P"
"298",1,1,"male",45,0,0,30.5,"NP"
"299",1,1,"female",50,0,1,247.5208,"P"
"300",1,3,"female",16,0,0,7.75,"P"
"301",1,3,"male",25,2,0,23.25,"NP"
"302",0,3,"male",19,0,0,0,"NP"
"303",1,2,"female",27,0,0,12.35,"P"
"304",0,3,"male",24,0,0,8.05,"NP"
"305",1,1,"male",0.92,1,2,151.55,"P"
"306",1,1,"female",39,0,0,110.8833,"P"
"307",1,1,"female",17,1,0,108.9,"P"
"308",0,2,"male",30,1,0,24,"NP"
"309",1,1,"female",30,0,0,56.9292,"P"
"310",1,1,"female",24,0,0,83.1583,"P"
"311",1,1,"female",18,2,2,262.375,"P"
"312",0,2,"female",26,1,1,26,"P"
"313",0,3,"male",28,0,0,7.8958,"NP"
"314",0,2,"male",43,1,1,26.25,"NP"
"315",1,3,"female",26,0,0,7.8542,"P"
"316",1,2,"female",24,1,0,26,"P"
"317",0,2,"male",54,0,0,14,"NP"
"318",1,1,"female",31,0,2,164.8667,"P"
"319",1,1,"female",40,1,1,134.5,"P"
"320",0,3,"male",22,0,0,7.25,"NP"
"321",0,3,"male",27,0,0,7.8958,"NP"
"322",1,2,"female",30,0,0,12.35,"P"
"323",1,2,"female",22,1,1,29,"P"
"324",0,3,"male",9,8,2,69.55,"P"
"325",1,1,"female",36,0,0,135.6333,"P"
"326",0,3,"male",61,0,0,6.2375,"NP"
"327",1,2,"female",36,0,0,13,"P"
"328",1,3,"female",31,1,1,20.525,"P"
"329",1,1,"female",16,0,1,57.9792,"P"
"330",1,3,"female",16,2,0,23.25,"P"
"331",0,1,"male",45.5,0,0,28.5,"NP"
"332",0,1,"male",38,0,1,153.4625,"NP"
"333",0,3,"male",16,2,0,18,"P"
"334",1,1,"female",26,1,0,133.65,"P"
"335",0,3,"male",27,0,0,7.8958,"NP"
"336",0,1,"male",29,1,0,66.6,"NP"
"337",1,1,"female",41,0,0,134.5,"P"
"338",1,3,"male",45,0,0,8.05,"NP"
"339",0,1,"male",45,0,0,35.5,"NP"
"340",1,2,"male",2,1,1,26,"P"
"341",1,1,"female",24,3,2,263,"P"
"342",0,2,"male",28,0,0,13,"NP"
"343",0,2,"male",25,0,0,13,"NP"
"344",0,2,"male",36,0,0,13,"NP"
"345",1,2,"female",24,0,0,13,"P"
"346",1,2,"female",40,0,0,13,"P"
"347",1,3,"female",24,1,0,16.1,"P"
"348",1,3,"male",3,1,1,15.9,"P"
"349",0,3,"male",42,0,0,8.6625,"NP"
"350",0,3,"male",23,0,0,9.225,"NP"
"351",0,1,"male",47,0,0,35,"NP"
"352",0,3,"male",15,1,1,7.2292,"P"
"353",0,3,"male",25,1,0,17.8,"NP"
"354",0,3,"male",30,0,0,7.225,"NP"
"355",0,3,"male",28,0,0,9.5,"NP"
"356",1,1,"female",22,0,1,55,"P"
"357",0,2,"female",38,0,0,13,"P"
"358",1,3,"female",16,0,0,7.8792,"P"
"359",1,3,"female",16,0,0,7.8792,"P"
"360",0,3,"male",40,1,4,27.9,"NP"
"361",0,2,"male",29,1,0,27.7208,"NP"
"362",0,3,"female",45,0,1,14.4542,"P"
"363",0,3,"male",35,0,0,7.05,"NP"
"364",0,3,"male",40,1,0,15.5,"NP"
"365",0,3,"male",30,0,0,7.25,"NP"
"366",1,1,"female",60,1,0,75.25,"P"
"367",1,3,"female",13,0,0,7.2292,"P"
"368",1,3,"female",16,0,0,7.75,"P"
"369",1,1,"female",24,0,0,69.3,"P"
"370",1,1,"male",25,1,0,55.4417,"NP"
"371",0,3,"male",18,1,0,6.4958,"NP"
"372",0,3,"male",19,0,0,8.05,"NP"
"373",0,1,"male",22,0,0,135.6333,"NP"
"374",0,3,"female",3,3,1,21.075,"P"
"375",1,1,"female",30,1,0,82.1708,"P"
"376",1,3,"female",22,0,0,7.25,"P"
"377",0,1,"male",27,0,2,211.5,"NP"
"378",0,3,"male",20,0,0,4.0125,"NP"
"379",0,3,"male",19,0,0,7.775,"NP"
"380",1,1,"female",42,0,0,227.525,"P"
"381",1,3,"female",1,0,2,15.7417,"P"
"382",0,3,"male",32,0,0,7.925,"NP"
"383",1,1,"female",35,1,0,52,"P"
"384",0,3,"male",22,0,0,7.8958,"NP"
"385",0,2,"male",18,0,0,73.5,"NP"
"386",0,3,"male",1,5,2,46.9,"P"
"387",1,2,"female",36,0,0,13,"P"
"388",0,3,"male",40.5,0,0,7.7292,"NP"
"389",1,2,"female",17,0,0,12,"P"
"390",1,1,"male",36,1,2,120,"NP"
"391",1,3,"male",21,0,0,7.7958,"NP"
"392",0,3,"male",28,2,0,7.925,"NP"
"393",1,1,"female",23,1,0,113.275,"P"
"394",1,3,"female",24,0,2,16.7,"P"
"395",0,3,"male",22,0,0,7.7958,"NP"
"396",0,3,"female",31,0,0,7.8542,"P"
"397",0,2,"male",46,0,0,26,"NP"
"398",0,2,"male",23,0,0,10.5,"NP"
"399",1,2,"female",28,0,0,12.65,"P"
"400",1,3,"male",39,0,0,7.925,"NP"
"401",0,3,"male",26,0,0,8.05,"NP"
"402",0,3,"female",21,1,0,9.825,"P"
"403",0,3,"male",28,1,0,15.85,"NP"
"404",0,3,"female",20,0,0,8.6625,"P"
"405",0,2,"male",34,1,0,21,"NP"
"406",0,3,"male",51,0,0,7.75,"NP"
"407",1,2,"male",3,1,1,18.75,"P"
"408",0,3,"male",21,0,0,7.775,"NP"
"409",0,3,"female",9,3,1,25.4667,"P"
"410",0,3,"male",26,0,0,7.8958,"NP"
"411",0,3,"male",25,0,0,6.8583,"NP"
"412",1,1,"female",33,1,0,90,"P"
"413",0,2,"male",31,0,0,0,"NP"
"414",1,3,"male",44,0,0,7.925,"NP"
"415",0,3,"female",30,0,0,8.05,"P"
"416",1,2,"female",34,1,1,32.5,"P"
"417",1,2,"female",18,0,2,13,"P"
"418",0,2,"male",30,0,0,13,"NP"
"419",0,3,"female",10,0,2,24.15,"P"
"420",0,3,"male",30,0,0,7.8958,"NP"
"421",0,3,"male",21,0,0,7.7333,"NP"
"422",0,3,"male",29,0,0,7.875,"NP"
"423",0,3,"female",28,1,1,14.4,"P"
"424",0,3,"male",18,1,1,20.2125,"NP"
"425",0,3,"male",21,0,0,7.25,"NP"
"426",1,2,"female",28,1,0,26,"P"
"427",1,2,"female",19,0,0,26,"P"
"428",0,3,"male",25,0,0,7.75,"NP"
"429",1,3,"male",32,0,0,8.05,"NP"
"430",1,1,"male",28,0,0,26.55,"NP"
"431",1,3,"female",26,1,0,16.1,"P"
"432",1,2,"female",42,1,0,26,"P"
"433",0,3,"male",17,0,0,7.125,"P"
"434",0,1,"male",50,1,0,55.9,"NP"
"435",1,1,"female",14,1,2,120,"P"
"436",0,3,"female",21,2,2,34.375,"P"
"437",1,2,"female",24,2,3,18.75,"P"
"438",0,1,"male",64,1,4,263,"NP"
"439",0,2,"male",31,0,0,10.5,"NP"
"440",1,2,"female",45,1,1,26.25,"P"
"441",0,3,"male",20,0,0,9.5,"NP"
"442",0,3,"male",25,1,0,7.775,"NP"
"443",1,2,"female",28,0,0,13,"P"
"444",1,3,"male",39,0,0,8.1125,"NP"
"445",1,1,"male",4,0,2,81.8583,"P"
"446",1,2,"female",13,0,1,19.5,"P"
"447",1,1,"male",34,0,0,26.55,"NP"
"448",1,3,"female",5,2,1,19.2583,"P"
"449",1,1,"male",52,0,0,30.5,"NP"
"450",0,2,"male",36,1,2,27.75,"NP"
"451",0,3,"male",25,1,0,19.9667,"NP"
"452",0,1,"male",30,0,0,27.75,"NP"
"453",1,1,"male",49,1,0,89.1042,"NP"
"454",0,3,"male",34,0,0,8.05,"NP"
"455",1,3,"male",29,0,0,7.8958,"NP"
"456",0,1,"male",65,0,0,26.55,"NP"
"457",1,1,"female",35,1,0,51.8625,"P"
"458",1,2,"female",50,0,0,10.5,"P"
"459",0,3,"male",31,0,0,7.75,"NP"
"460",1,1,"male",48,0,0,26.55,"NP"
"461",0,3,"male",34,0,0,8.05,"NP"
"462",0,1,"male",47,0,0,38.5,"NP"
"463",0,2,"male",48,0,0,13,"NP"
"464",0,3,"male",38,0,0,8.05,"NP"
"465",0,3,"male",38,0,0,7.05,"NP"
"466",0,2,"male",31,0,0,0,"NP"
"467",0,1,"male",56,0,0,26.55,"NP"
"468",0,3,"male",31,0,0,7.725,"NP"
"469",1,3,"female",0.75,2,1,19.2583,"P"
"470",0,3,"male",38,0,0,7.25,"NP"
"471",0,3,"male",38,0,0,8.6625,"NP"
"472",1,2,"female",33,1,2,27.75,"P"
"473",1,2,"female",23,0,0,13.7917,"P"
"474",0,3,"female",22,0,0,9.8375,"P"
"475",0,1,"male",55,0,0,52,"NP"
"476",0,2,"male",34,1,0,21,"NP"
"477",0,3,"male",29,1,0,7.0458,"NP"
"478",0,3,"male",22,0,0,7.5208,"NP"
"479",1,3,"female",2,0,1,12.2875,"P"
"480",0,3,"male",9,5,2,46.9,"P"
"481",0,2,"male",30,0,0,0,"NP"
"482",0,3,"male",50,0,0,8.05,"NP"
"483",1,3,"female",63,0,0,9.5875,"P"
"484",1,1,"male",25,1,0,91.0792,"NP"
"485",0,3,"female",9,3,1,25.4667,"P"
"486",1,1,"female",35,1,0,90,"P"
"487",0,1,"male",58,0,0,29.7,"NP"
"488",0,3,"male",30,0,0,8.05,"NP"
"489",1,3,"male",9,1,1,15.9,"P"
"490",0,3,"male",28,1,0,19.9667,"NP"
"491",0,3,"male",21,0,0,7.25,"NP"
"492",0,1,"male",55,0,0,30.5,"NP"
"493",0,1,"male",71,0,0,49.5042,"NP"
"494",0,3,"male",21,0,0,8.05,"NP"
"495",0,3,"male",25,0,0,14.4583,"NP"
"496",1,1,"female",54,1,0,78.2667,"P"
"497",0,3,"male",21,0,0,15.1,"NP"
"498",0,1,"female",25,1,2,151.55,"P"
"499",0,3,"male",24,0,0,7.7958,"NP"
"500",0,3,"male",17,0,0,8.6625,"P"
"501",0,3,"female",21,0,0,7.75,"P"
"502",0,3,"female",30.5,0,0,7.6292,"P"
"503",0,3,"female",37,0,0,9.5875,"P"
"504",1,1,"female",16,0,0,86.5,"P"
"505",0,1,"male",18,1,0,108.9,"NP"
"506",1,2,"female",33,0,2,26,"P"
"507",1,1,"male",45,0,0,26.55,"NP"
"508",0,3,"male",28,0,0,22.525,"NP"
"509",1,3,"male",26,0,0,56.4958,"NP"
"510",1,3,"male",29,0,0,7.75,"NP"
"511",0,3,"male",24,0,0,8.05,"NP"
"512",1,1,"male",36,0,0,26.2875,"NP"
"513",1,1,"female",54,1,0,59.4,"P"
"514",0,3,"male",24,0,0,7.4958,"NP"
"515",0,1,"male",47,0,0,34.0208,"NP"
"516",1,2,"female",34,0,0,10.5,"P"
"517",0,3,"male",31,0,0,24.15,"NP"
"518",1,2,"female",36,1,0,26,"P"
"519",0,3,"male",32,0,0,7.8958,"NP"
"520",1,1,"female",30,0,0,93.5,"P"
"521",0,3,"male",22,0,0,7.8958,"NP"
"522",0,3,"male",25,0,0,7.225,"NP"
"523",1,1,"female",44,0,1,57.9792,"P"
"524",0,3,"male",25,0,0,7.2292,"NP"
"525",0,3,"male",40.5,0,0,7.75,"NP"
"526",1,2,"female",50,0,0,10.5,"P"
"527",0,1,"male",55,0,0,221.7792,"NP"
"528",0,3,"male",39,0,0,7.925,"NP"
"529",0,2,"male",23,2,1,11.5,"NP"
"530",1,2,"female",2,1,1,26,"P"
"531",0,3,"male",25,0,0,7.2292,"NP"
"532",0,3,"male",17,1,1,7.2292,"P"
"533",1,3,"female",4,0,2,22.3583,"P"
"534",0,3,"female",30,0,0,8.6625,"P"
"535",1,2,"female",7,0,2,26.25,"P"
"536",0,1,"male",45,0,0,26.55,"NP"
"537",1,1,"female",30,0,0,106.425,"P"
"538",0,3,"male",32,0,0,14.5,"NP"
"539",1,1,"female",22,0,2,49.5,"P"
"540",1,1,"female",36,0,2,71,"P"
"541",0,3,"female",9,4,2,31.275,"P"
"542",0,3,"female",11,4,2,31.275,"P"
"543",1,2,"male",32,1,0,26,"NP"
"544",0,1,"male",50,1,0,106.425,"NP"
"545",0,1,"male",64,0,0,26,"NP"
"546",1,2,"female",19,1,0,26,"P"
"547",1,2,"male",22,0,0,13.8625,"NP"
"548",0,3,"male",33,1,1,20.525,"NP"
"549",1,2,"male",8,1,1,36.75,"P"
"550",1,1,"male",17,0,2,110.8833,"P"
"551",0,2,"male",27,0,0,26,"NP"
"552",0,3,"male",31,0,0,7.8292,"NP"
"553",1,3,"male",22,0,0,7.225,"NP"
"554",1,3,"female",22,0,0,7.775,"P"
"555",0,1,"male",62,0,0,26.55,"NP"
"556",1,1,"female",48,1,0,39.6,"P"
"557",0,1,"male",40,0,0,227.525,"NP"
"558",1,1,"female",39,1,1,79.65,"P"
"559",1,3,"female",36,1,0,17.4,"P"
"560",0,3,"male",31,0,0,7.75,"NP"
"561",0,3,"male",40,0,0,7.8958,"NP"
"562",0,2,"male",28,0,0,13.5,"NP"
"563",0,3,"male",19,0,0,8.05,"NP"
"564",0,3,"female",30,0,0,8.05,"P"
"565",0,3,"male",24,2,0,24.15,"NP"
